entity_id,score,label_value,race,sex,age_cat
4640,True,False,Espanyol,Home,16 i 17 anys
1797,False,False,Espanyol,Dona,14 i 15 anys
3685,False,True,Espanyol,Dona,16 i 17 anys
2700,False,False,Magrib,Home,14 i 15 anys
3365,False,False,Espanyol,Dona,16 i 17 anys
1684,False,False,Espanyol,Home,14 i 15 anys
818,False,True,Centre i Sud Amèrica,Home,16 i 17 anys
2959,False,False,Magrib,Home,16 i 17 anys
1350,False,False,Espanyol,Home,16 i 17 anys
75,False,False,Espanyol,Home,14 i 15 anys
1692,False,False,Espanyol,Home,16 i 17 anys
2428,False,False,Espanyol,Dona,14 i 15 anys
525,False,False,Magrib,Home,16 i 17 anys
1763,False,False,Espanyol,Home,16 i 17 anys
1110,False,False,Espanyol,Home,16 i 17 anys
3153,False,False,Espanyol,Home,16 i 17 anys
3608,False,False,Magrib,Home,16 i 17 anys
1960,False,False,Centre i Sud Amèrica,Home,16 i 17 anys
90,True,False,Espanyol,Home,16 i 17 anys
4346,True,True,Espanyol,Home,16 i 17 anys
314,False,False,Espanyol,Home,16 i 17 anys
4407,False,False,Espanyol,Home,16 i 17 anys
362,False,False,Espanyol,Home,16 i 17 anys
405,True,False,Espanyol,Home,14 i 15 anys
1156,False,False,Espanyol,Dona,14 i 15 anys
